X,Y,OBJECTID_12_13,Plant_ID,Plant_Alias,Plant_Label,MW,Gross_MWh,Net_MWh,General_Fuel,Status,STEP_License_Status,Gen_Count,Initial_Start_Date,Online_Year,Retire_Date,Docket_ID,CEC_Sited_Flag,STEP_Project_Type,REAT_ID,WREGIS_ID,County,State_,Peaker,Renewable_Energy,CEC_Jurisdictional_Plant,CEC_Data_Source,Wind_Resource,LRA,Sub_Area,Service_Area,Service_Category,Caliso_Balancing_Authorities,Air_District,Air_Basin,Quad,Senate_District,Assembly_District,Congressional_District,CES30_PercentileRange,CES30_Percentile,Website,CEC_Link,Aerial,C_Comments,Longitude,Latitude,Elevation,Operation_Job,Property_Tax,Capacity_Factor,Income_Percent,Project_Location,Creator,Creator_Date,Last_Editor,Last_Editor_Date,GlobalID
-105.461670260688152,34.651112030940993,1,W0464,,El Cabo,298.2,,,Wind,Operating,,,,,,,N,,,,Torrance,NM,,1,0,QFER,,,,,,,,,,,,,,,,,"<a href="""">Google Earth</a>",,-105.46167026,34.65111203,,,,,,,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,0da84d14-5867-4396-8004-5ce07b6d6dd9
-120.821224038055021,39.570290459971019,2,G0178,Downieville,Downieville,0,,,Gas,Retired,,1,2000-01-01T00:00:00.000Z,2000,2000-12-31T00:00:00.000Z,,N,,C-5,,Sierra,CA,0,0,0,QFER,,Sierra,South of Palermo,Pacific Gas & Electric Company,IOU,CALISO,Northern Sierra Air Quality Management District,Mountain Counties,Downieville,Senate District 1,Assembly District 1,Congressional District 1,35-40%,38,,,"<a href=""https://earth.google.com/web/@39.5702828,-120.8211667,904.80088945a,792.05605741d,35y,0h,45t,0r/data=CjoaOBIyCgAZVLzbBv_IQ0AhHETG_o00XsAqHDM5wrAzNCcxMy4wIk4gMTIwwrA0OScxNi4yIlcYAiABKAI"">Google Earth</a>",,-120.82122404,39.57029046,907.573703,,,,69,Neither Low Income Nor Disadvantaged Community,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,1f0a59b7-ffb2-474c-872d-03f68911d206
-120.606094748999439,39.610712290176579,3,H0429,Salmon Creek Hydroelectric Project,Salmon Creek,0.5,,,Hydro,Operating,,,,,,,N,,D-5,,Sierra,CA,,1,0,,,Sierra,South of Palermo,Pacific Gas & Electric Company,IOU,CALISO,Northern Sierra Air Quality Management District,Mountain Counties,Haypress Valley,Senate District 1,Assembly District 1,Congressional District 1,35-40%,38,,,"<a href="""">Google Earth</a>",,-120.60609475,39.61071229,1631.247985,,,,69,Neither Low Income Nor Disadvantaged Community,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,2a6a0738-49a9-4702-93f6-b6e93a7ded86
-120.581693869965036,39.56570129296361,4,H0226,"Haypress Creek Lower; Haypress Hydroelectric Inc.; Haypress Power House",Lower Haypress,5,6757,6757,Hydro,Operating,,1,1989-01-01T00:00:00.000Z,1989,,,N,,D-5,,Sierra,CA,0,1,0,QFER,,Sierra,South of Palermo,Pacific Gas & Electric Company,IOU,CALISO,Northern Sierra Air Quality Management District,Mountain Counties,Haypress Valley,Senate District 1,Assembly District 1,Congressional District 1,35-40%,38,,,"<a href="""">Google Earth</a>",,-120.58169387,39.56570129,1502.833278,,,0.153848,69,Neither Low Income Nor Disadvantaged Community,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,db948049-b4fe-4e48-96dd-ec9c08ed2d13
-120.596899963573776,39.565720902412387,5,H0623,,Middle Haypress,5,9425,9425,Hydro,Operating,,1,1988-12-01T00:00:00.000Z,1988,,,N,,D-5,,Sierra,CA,0,1,0,QFER,,Sierra,South of Palermo,Pacific Gas & Electric Company,IOU,CALISO,Northern Sierra Air Quality Management District,Mountain Counties,Haypress Valley,Senate District 1,Assembly District 1,Congressional District 1,35-40%,38,,,"<a href="""">Google Earth</a>",,-120.59689996,39.5657209,1354.506763,,,0.214595,69,Neither Low Income Nor Disadvantaged Community,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,4c6f4594-4836-4b4f-b7cb-7544768ca3bd
-120.239729148165225,39.670112648803894,6,E0084,"Sierra Pacific Ind. (Loyalton); Loyalton Powerplant",SPI - Loyalton,20,,,Biomass,Operating,,1,1989-09-01T00:00:00.000Z,1989,2010-08-20T00:00:00.000Z,,N,,D-5,,Sierra,CA,0,1,0,QFER,,,,Liberty Utilities,IOU,NV Energy,Northern Sierra Air Quality Management District,Mountain Counties,Loyalton,Senate District 1,Assembly District 1,Congressional District 1,35-40%,38,,,"<a href=""https://earth.google.com/web/@39.6700194,-120.2394083,1513.78054654a,790.80692588d,35y,0h,45t,0r/data=CjoaOBIyCgAZwFcZMsPVQ0AhBbkwd1IPXsAqHDM5wrA0MCcxMi4xIk4gMTIwwrAxNCcyMS45IlcYAiABKAI"">Google Earth</a>",,-120.23972915,39.67011265,1513.162333,,,,69,Neither Low Income Nor Disadvantaged Community,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,2d9f398e-728c-49dd-8179-b4d9d6e365fd
-120.104538443246852,39.470413934621213,7,H0497, ,Stampede,3.65,9797,9610,Hydro,Operating,,2,1988-01-01T00:00:00.000Z,1988,,,N,,D-5,,Sierra,CA,0,1,0,QFER,,,,Liberty Utilities,IOU,NV Energy,Northern Sierra Air Quality Management District,Mountain Counties,Boca,Senate District 1,Assembly District 1,Congressional District 1,35-40%,38,,,"<a href="""">Google Earth</a>",,-120.10453844,39.47041393,1742.847429,,,0.299736,69,Neither Low Income Nor Disadvantaged Community,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,1ab25660-94aa-47d3-b9f8-cbb5d73de3c9
-120.006109057361755,39.461371138824433,8,H0184, ,Fleish,2.25,,,Hydro,Non-Operational,,,,,,,N,,D-5,,Sierra,CA,,1,0,,,,,Liberty Utilities,IOU,NV Energy,Northern Sierra Air Quality Management District,Mountain Counties,Boca,Senate District 1,Assembly District 1,Congressional District 1,35-40%,38,,,"<a href="""">Google Earth</a>",,-120.00610906,39.46137114,1535.463247,,,,69,Neither Low Income Nor Disadvantaged Community,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,c5f30dec-d5be-4980-bb6f-0a0fdec1e4e8
-121.33781013231112,38.238008044565831,9,S0155,Fleshman Solar Farm,Kost (Fleshman Solar Farm),3,5556,5531,Solar,Operating,,1,2011-11-19T00:00:00.000Z,2011,,,N,,C-6,,Sacramento,CA,0,1,0,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Lodi North,Senate District 5,Assembly District 9,Congressional District 9,50-55%,51,,,"<a href="""">Google Earth</a>",,-121.33781013,38.23800804,10.436336,,,0.209889,64,Neither Low Income Nor Disadvantaged Community,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,c9bd60cc-014a-4b05-bef0-5d7e909fc82a
-121.462358877831832,38.445789326717694,10,G0085,"Carson Ice-Gen; Cogen One",Carson - Ice Gen,119.5,386945.010000,368064,Gas,Operating,Operational,3,1995-10-01T00:00:00.000Z,1995,,"92-SPPE-01, 92-SPPE-01C
",Y,SPPE,C-6,,Sacramento,CA,0,0,1,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Florin,Senate District 3,Assembly District 9,Congressional District 3,55-60%,57,,"<a href=""http://www.energy.ca.gov/sitingcases/pre1999_page/index.php?xkm=ajdkha2385duhkasd151dsasjd5598fhajkhs"">Siting Case</a>","<a href=""https://www.google.com/maps/place/Glacier+Way,+Elk+Grove,+CA+95758/@38.4456904,-121.4623376,170m/data=!3m1!1e3!4m2!3m1!1s0x809acf4cf45ca88f:0xb14b70a9fccf828e"">Google Map</a>",,-121.46235888,38.44578933,5.507143,5,100,0.350641,112,Neither Low Income Nor Disadvantaged Community,cecgis,2020-02-07T18:59:42.706Z,cecgis,2020-02-07T18:59:42.706Z,6903aae3-e4dc-48a1-ade0-40d128a80755
